Iteration    x                eps
1            48.000000         233.333333
2            -36.000000         99.944277
3            -64605.600000         100.000000
4            -269708844941173.125000         100.000000
5            -19619393028681202352649084764889913988481024.000000         100.000000
6            -7551908199054240350478052113294933999723996541124332476134799745258552727088979648344754999648720679631666740484892910762491641856.000000         NaN
7            -Inf         0.000000


root = -Inf
